Date,Product ID,Product Name,Category,Sales Channel,Units Sold,Revenue
5/1/2022,FC-3002,Fast Charger Plus,Fast Chargers,Direct,128,480000.00
12/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,53,477000.00
9/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,53,477000.00
9/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,53,477000.00
3/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,53,477000.00
3/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,53,477000.00
2/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,176,475200.00
6/1/2022,FC-3001,Fast Charger Basic,Fast Chargers,Direct,105,472500.00
7/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,171,461700.00
6/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,171,461700.00
9/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,171,461700.00
5/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,171,461700.00
4/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,171,461700.00
1/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,171,461700.00
4/1/2024,FC-3001,Fast Charger Basic,Fast Chargers,Direct,101,454500.00
12/1/2023,FC-3001,Fast Charger Basic,Fast Chargers,Direct,101,454500.00
1/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,167,450900.00
11/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,167,450900.00
9/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,167,450900.00
9/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,167,450900.00
4/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,167,450900.00
4/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,167,450900.00
2/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,167,450900.00
3/1/2024,FC-3001,Fast Charger Basic,Fast Chargers,Direct,100,450000.00
2/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,50,450000.00
2/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,50,450000.00
5/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,50,450000.00
5/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,50,450000.00
6/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,50,450000.00
6/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,50,450000.00
4/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,50,450000.00
4/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,50,450000.00
1/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,50,450000.00
5/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,50,450000.00
4/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,50,450000.00
4/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,49,441000.00
4/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,49,441000.00
5/1/2024,FC-3002,Fast Charger Plus,Fast Chargers,Direct,117,438750.00
10/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,162,437400.00
10/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,162,437400.00
8/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,162,437400.00
4/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,243,437400.00
11/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,162,437400.00
3/1/2023,FC-3001,Fast Charger Basic,Fast Chargers,Direct,97,436500.00
1/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,48,432000.00
1/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,48,432000.00
7/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,48,432000.00
6/1/2024,PC-4003,Public Charger Pro,Public Chargers,Direct,48,432000.00
4/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,48,432000.00
3/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,48,432000.00
12/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,48,432000.00
1/1/2024,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,159,429300.00
8/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,158,426600.00
7/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,158,426600.00
12/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,158,426600.00
2/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,158,426600.00
11/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,157,423900.00
5/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,47,423000.00
5/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,47,423000.00
1/1/2024,FC-3001,Fast Charger Basic,Fast Chargers,Direct,94,423000.00
5/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,47,423000.00
5/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,47,423000.00
3/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,47,423000.00
3/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,47,423000.00
8/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,47,423000.00
8/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,47,423000.00
7/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,47,423000.00
7/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,47,423000.00
1/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,47,423000.00
12/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,47,423000.00
12/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,47,423000.00
11/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,47,423000.00
2/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,47,423000.00
2/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,47,423000.00
5/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,234,421200.00
6/1/2024,FC-3002,Fast Charger Plus,Fast Chargers,Direct,112,420000.00
1/1/2024,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,155,418500.00
8/1/2023,FC-3001,Fast Charger Basic,Fast Chargers,Direct,93,418500.00
3/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,230,414000.00
1/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,153,413100.00
9/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,153,413100.00
4/1/2024,FC-3002,Fast Charger Plus,Fast Chargers,Direct,109,408750.00
12/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,151,407700.00
6/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,45,405000.00
5/1/2024,PC-4003,Public Charger Pro,Public Chargers,Direct,45,405000.00
1/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,45,405000.00
6/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,45,405000.00
1/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,149,402300.00
10/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,149,402300.00
11/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,149,402300.00
4/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,221,397800.00
3/1/2024,FC-3002,Fast Charger Plus,Fast Chargers,Direct,106,397500.00
6/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,44,396000.00
6/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,44,396000.00
2/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,44,396000.00
7/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,44,396000.00
7/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,44,396000.00
4/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,44,396000.00
4/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,44,396000.00
12/1/2022,FC-3001,Fast Charger Basic,Fast Chargers,Direct,88,396000.00
5/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,44,396000.00
11/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,145,391500.00
6/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,144,388800.00
5/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,216,388800.00
6/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,216,388800.00
3/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,144,388800.00
2/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,216,388800.00
1/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,216,388800.00
4/1/2022,FC-3002,Fast Charger Plus,Fast Chargers,Direct,103,386250.00
2/1/2024,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,142,383400.00
10/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,142,383400.00
1/1/2023,FC-3002,Fast Charger Plus,Fast Chargers,Direct,102,382500.00
8/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,212,381600.00
5/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,212,381600.00
3/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,212,381600.00
3/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,212,381600.00
11/1/2022,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,140,378000.00
3/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,42,378000.00
2/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Direct,42,378000.00
1/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,42,378000.00
1/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,42,378000.00
5/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,42,378000.00
2/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,42,378000.00
5/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,42,378000.00
2/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,42,378000.00
6/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,207,372600.00
4/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,207,372600.00
3/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,207,372600.00
9/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,137,369900.00
4/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,41,369000.00
4/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,41,369000.00
4/1/2024,PC-4003,Public Charger Pro,Public Chargers,Direct,41,369000.00
3/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,41,369000.00
5/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,203,365400.00
4/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,203,365400.00
2/1/2024,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,135,364500.00
10/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,135,364500.00
2/1/2024,FC-3001,Fast Charger Basic,Fast Chargers,Direct,81,364500.00
5/1/2023,FC-3001,Fast Charger Basic,Fast Chargers,Direct,81,364500.00
5/1/2021,FC-3001,Fast Charger Basic,Fast Chargers,Direct,81,364500.00
6/1/2023,FC-3002,Fast Charger Plus,Fast Chargers,Direct,97,363750.00
6/1/2023,FC-3001,Fast Charger Basic,Fast Chargers,Direct,80,360000.00
7/1/2022,FC-3001,Fast Charger Basic,Fast Chargers,Direct,80,360000.00
6/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,198,356400.00
4/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,198,356400.00
2/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,198,356400.00
2/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,198,356400.00
2/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,198,356400.00
4/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,198,356400.00
12/1/2023,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,130,351000.00
10/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,39,351000.00
12/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,39,351000.00
8/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,194,349200.00
2/1/2022,FC-3001,Fast Charger Basic,Fast Chargers,Direct,77,346500.00
4/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,38,342000.00
3/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,38,342000.00
2/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,38,342000.00
1/1/2024,PC-4003,Public Charger Pro,Public Chargers,Direct,38,342000.00
4/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,38,342000.00
9/1/2021,PC-4003,Public Charger Pro,Public Chargers,Direct,38,342000.00
8/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,189,340200.00
8/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,189,340200.00
1/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,189,340200.00
5/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,189,340200.00
5/1/2024,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,124,334800.00
3/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,185,333000.00
3/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,185,333000.00
6/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,185,333000.00
4/1/2023,FC-3001,Fast Charger Basic,Fast Chargers,Direct,74,333000.00
12/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,37,333000.00
4/1/2021,FC-3001,Fast Charger Basic,Fast Chargers,Direct,73,328500.00
2/1/2022,FC-3002,Fast Charger Plus,Fast Chargers,Direct,87,326250.00
7/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,180,324000.00
7/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,180,324000.00
12/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,180,324000.00
5/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,180,324000.00
6/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,36,324000.00
8/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,36,324000.00
8/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,36,324000.00
7/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,36,324000.00
5/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,36,324000.00
11/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,36,324000.00
6/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,36,324000.00
10/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,36,324000.00
10/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,36,324000.00
9/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,36,324000.00
7/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,36,324000.00
3/1/2023,FC-3002,Fast Charger Plus,Fast Chargers,Direct,86,322500.00
5/1/2024,CC-2003,Commercial Charger Pro,Commercial Chargers,Direct,119,321300.00
7/1/2023,FC-3001,Fast Charger Basic,Fast Chargers,Direct,71,319500.00
1/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,176,316800.00
9/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,176,316800.00
7/1/2023,CC-2001,Commercial Charger Standard,Commercial Chargers,Distributor,234,315900.00
8/1/2021,CC-2001,Commercial Charger Standard,Commercial Chargers,Distributor,234,315900.00
3/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Direct,35,315000.00
3/1/2024,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,35,315000.00
6/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,35,315000.00
6/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,35,315000.00
11/1/2022,FC-3001,Fast Charger Basic,Fast Chargers,Direct,70,315000.00
3/1/2022,FC-3002,Fast Charger Plus,Fast Chargers,Direct,84,315000.00
11/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,35,315000.00
11/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,35,315000.00
10/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,35,315000.00
8/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Direct,35,315000.00
8/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,35,315000.00
6/1/2021,FC-3001,Fast Charger Basic,Fast Chargers,Direct,70,315000.00
8/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,35,315000.00
7/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,35,315000.00
6/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,35,315000.00
5/1/2023,FC-3002,Fast Charger Plus,Fast Chargers,Direct,83,311250.00
7/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,171,307800.00
7/1/2022,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,171,307800.00
12/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Distributor,171,307800.00
10/1/2021,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,171,307800.00
6/1/2022,PC-4002,Public Charger Advanced,Public Chargers,Direct,68,306000.00
12/1/2021,CC-2003,Commercial Charger Pro,Commercial Chargers,Distributor,113,305100.00
5/1/2022,CC-2001,Commercial Charger Standard,Commercial Chargers,Distributor,225,303750.00
3/1/2022,FC-3001,Fast Charger Basic,Fast Chargers,Direct,67,301500.00
2/1/2024,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,167,300600.00
3/1/2023,CC-2001,Commercial Charger Standard,Commercial Chargers,Distributor,221,298350.00
4/1/2022,CC-2001,Commercial Charger Standard,Commercial Chargers,Distributor,221,298350.00
5/1/2021,CC-2001,Commercial Charger Standard,Commercial Chargers,Direct,221,298350.00
5/1/2021,CC-2001,Commercial Charger Standard,Commercial Chargers,Distributor,221,298350.00
12/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,33,297000.00
2/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Direct,33,297000.00
2/1/2023,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,33,297000.00
4/1/2022,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,33,297000.00
3/1/2021,FC-3003,Fast Charger Premium,Fast Chargers,Distributor,33,297000.00
12/1/2023,PC-4003,Public Charger Pro,Public Chargers,Direct,33,297000.00
11/1/2022,PC-4003,Public Charger Pro,Public Chargers,Direct,33,297000.00
4/1/2021,PC-4002,Public Charger Advanced,Public Chargers,Direct,66,297000.00
11/1/2023,CC-2002,Commercial Charger Advanced,Commercial Chargers,Direct,164,295200.00
11/1/2023,FC-3001,Fast Charger Basic,Fast Chargers,Direct,65,292500.00
